LAB SAMPLE ID,SITE,Core Depth,Ave Core depth (cm),HG SPIKE,TIME POINT,COLLECTION_DATE,SAMPLE TYPE,SAMPLING COMMENT,SAMPLING METHOD,FILTER,SAMPLE PRESERVATION,PARAMETER,ANALYSIS DATE,SOURCE FILE,VALUE,DL,DL Flag,UNITS,Dilution,Replicate,ID Recovery
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-NO2,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,6.77,6.77,<,µM,10,,
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-NO3,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,9.99,9.99,<,µM,10,,
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-PO4,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,10.54,10.54,<,µM,10,,
CM15-1002,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-SO4,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,7170,15.03,,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-Br,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,208,14.11,,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-Cl,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,189200,37.78,,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-F,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,58.25,8.171,,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-NO2,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,6.77,6.77,<,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-NO3,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,1.211,9.99,<,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-PO4,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,10.54,10.54,<,µM,10,,
CM15-1003,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,centrifuged sample,GDX syringe filter (0.45um GMF w/GMF),,IC-SO4,11/02/15,S:\MicrobialEcology\Analytical  Data\Anions by IC\2015 Anions\[2015_1102 Anions CM15 Marsh Surve_GES.xlsx]Anion Main Data,5559,15.03,,µM,10,,
CM15-1004,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM280,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,116.5,,,"A, m-1",1,,
CM15-1004,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM440,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,16.79,,,"A, m-1",1,,
CM15-1004,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,DOC,05/03/16,S:\MicrobialEcology\Analytical  Data\DOC\DOC 2016\[2016_0502 NPOC CM15 Marsh Survey.xlsx]DB_DOC,23.87,0.14,,mg/L,,,
CM15-1004,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S-R,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,1.21,,,unitless,1,,
CM15-1004,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S275-295,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1004,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S300-700,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1004,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S350-400,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1005,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM280,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,79.97,,,"A, m-1",1,,
CM15-1005,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM440,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,11.72,,,"A, m-1",1,,
CM15-1005,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,DOC,05/03/16,S:\MicrobialEcology\Analytical  Data\DOC\DOC 2016\[2016_0502 NPOC CM15 Marsh Survey.xlsx]DB_DOC,17.68,0.14,,mg/L,,,
CM15-1005,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S-R,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,1.39,,,unitless,1,,
CM15-1005,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S275-295,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.02,,,"Slope, nm-1",1,,
CM15-1005,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S300-700,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1005,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S350-400,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1006,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM280,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,108.6,,,"A, m-1",1,,
CM15-1006,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM440,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,7.63,,,"A, m-1",1,,
CM15-1006,SERC Cattail,0-4 cm,2,,,09/22/15,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,DOC,05/03/16,S:\MicrobialEcology\Analytical  Data\DOC\DOC 2016\[2016_0502 NPOC CM15 Marsh Survey.xlsx]DB_DOC,19.42,0.14,,mg/L,,,
CM15-1006,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S-R,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.95,,,unitless,1,,
CM15-1006,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S275-295,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1006,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S300-700,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,,
CM15-1006,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S350-400,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.02,,,"Slope, nm-1",1,,
CM15-1006 ,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM280,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,108.8,,,"A, m-1",1,analytical rep,
CM15-1006 ,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,aCDOM440,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,7.61,,,"A, m-1",1,analytical rep,
CM15-1006 ,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S-R,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.95,,,unitless,1,analytical rep,
CM15-1006 ,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S275-295,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,analytical rep,
CM15-1006 ,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S300-700,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.01,,,"Slope, nm-1",1,analytical rep,
CM15-1006 ,SERC Cattail,0-4 cm,2,,,9/23/2015,Porewater,GDX syringe filter (0.45um GMF w/GMF),decant pw from centrifuged soil into 60 ml syringe in glove box,GD/X syringe filter 0.45 micron,,S350-400,09/23/15,S:\MicrobialEcology\Analytical  Data\CDOM\CDOM 2015\CM15\[2015_0923 CDOM SERC Cattails Phrag.xlsx]Slopes,0.02,,,"Slope, nm-1",1,analytical rep,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Al,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,0.02,0.006,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-B,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,1.36,0.005,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Ba,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,0.66,0.002,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Ca,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,170,0.5,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Ca,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,173,0.5,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Fe,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,0.48,0.06,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-K,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,155,100,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-K,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,102,100,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Mg,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,406,0.15,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Mg,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,411,0.15,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Mn,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,0.05,0.005,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Na,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,3433,10,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Na,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,3427,10,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-P,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,1.3,0.03,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-S,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,264,10,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-S,08/05/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0805 ICPOES Elementals Grace H2O 50X.xlsx,290,10,,mg/L,,,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Si,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,6.02,0.02,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Sr,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,2.4,0.001,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,F-Zn,07/26/16,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0726 ICPOES Elementals Grace H2O.xlsx,0.08,0.02,,mg/L,1,1,
CM15-1010,SERC Cattail,0-4 cm,2,,,9/22/2015,Porewater,,decant pw from centrifuged soil into 60 ml syringe in glove box,GDX syringe filter (0.45um GMF w/GMF),,FTHg,07/28/16,S:\MicrobialEcology\Analytical  Data\ICPMS HG\2016\20160728 TERX CM15 SI16.xlsx,6.33,0.25,,ng/L,0.56,,90%
CM15-1011,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,F-Al,2016_0323,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0323 CM15 PW.xlsx,0.007,0.007,<,mg/L,1,,
CM15-1011,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,F-B,2016_0323,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0323 CM15 PW.xlsx,1.25,0.009,,mg/L,1,,
CM15-1011,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,F-Ba,2016_0323,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0323 CM15 PW.xlsx,0.52,0.003,,mg/L,1,,
CM15-1011,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,F-Ca,2016_0324,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0324 CM15 PW 10X.xlsx,166,0.3,,mg/L,10,,
CM15-1011,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,F-Fe,2016_0324,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0324 CM15 PW 10X.xlsx,0.18,0.03,,mg/L,10,,
CM15-1011,SERC Cattail,0-4 cm,2,,,9/22/2015,porewater,,,GDX syringe filter (0.45um GMF w/GMF),,F-K,2016_0324,S:\MicrobialEcology\Analytical  Data\ICPOES Metals\OES elemental analysis 2016\2016_0324 CM15 PW 10X.xlsx,120,9,,mg/L,10,,
