sample_id, ¹⁹⁹Hg-FeS,Nano²⁰⁰HgS ,²⁰¹Hg-humic acid,dissolved ²⁰²Hg²⁺,Hg -Ambient
14-17-S-3,1.7228,3.1969,5.6944,5.9188,1.1965
14-18-S-1,0.6173,1.0277,1.4424,1.7260,1.1698
14-18-S-2,1.0533,1.8863,2.8901,3.1300,1.4035
14-18-S-3,0.3446,0.4868,0.3428,0.7196,1.2088
42-16-S-1A,1.6244,3.1689,5.2875,21.1716,
42-16-S-1B,0.1501,0.2641,0.3028,1.6986,0.3725
42-16-S-1C,0.5098,1.0844,1.8297,8.0771,
42-17-S-1A,,0.0388,0.0694,0.2742,
42-17-S-1B,0.0773,0.1457,0.1766,1.1197,0.2322
42-17-S-1C,0.8924,1.6070,2.6351,14.0816,
42-18-S-1A,0.2029,0.4727,0.7293,3.4209,0.0248
42-18-S-1B,0.4047,0.7980,1.3322,5.5498,0.1960
42-18-S-1C,0.0441,0.1085,0.1607,0.7401,0.1034
90 16-1,0.2112,0.3369,0.4353,0.4985,0.3895
90 16-2,0.2270,0.3784,0.4879,0.6019,0.3372
90 16-3,0.1829,0.3025,0.4010,0.5386,0.2763
90 17-1,1.7013,3.3094,4.6558,5.5137,0.4225
90 17-2,0.1423,0.2430,0.3243,0.4548,0.2812
90 17-3,0.2548,0.5026,0.7545,1.0205,0.3145
90 18-1,0.1646,0.3124,0.4424,0.4723,0.3325
90 18-2,0.3772,0.7948,1.1868,1.3114,0.3321
90 18-3,0.5545,1.0686,1.6643,1.8238,0.2981
1yr-16-sa-top-1,0.25650,0.52757,0.55791,0.90113,0.01899
1yr-16-sa-top-2,0.08376,0.17486,0.20104,0.33651,0.00815
1yr-16-sa-top-3,0.09748,0.18346,0.20382,0.30434,0.01021
1yr-16-sa-top-4,0.03477,0.07306,0.07222,0.12753,0.00766
1yr-16-sa-top-5,0.02635,0.05658,0.05419,0.10112,0.00780
1yr-16-sa-top-6,0.03814,0.08043,0.09446,0.13286,0.00955
1yr-17-sa-top-1,0.05852,0.12379,0.11527,0.18242,0.00720
1yr-17-sa-top-2,0.03837,0.06955,0.05479,0.10565,0.00649
1yr-17-sa-top-3,0.04052,0.07125,0.04330,0.09592,0.00872
1yr-17-sa-top-4,0.02550,0.06248,0.06462,0.12595,0.00729
1yr-17-sa-top-5,0.08378,0.16314,0.16834,0.25601,0.00683
1yr-17-sa-top-6,0.37570,0.59999,0.36988,0.77312,0.02454
1yr-18-sa-top-1,0.05060,0.09707,0.11586,0.14701,0.00954
1yr-18-sa-top-2,0.04835,0.11202,0.12447,0.18960,0.00441
1yr-18-sa-top-3,0.04434,0.09818,0.09864,0.16136,0.00695
1yr-18-sa-top-4,0.11489,0.25315,0.30914,0.33910,0.00446
1yr-18-sa-top-5,0.04754,0.11029,0.10846,0.19507,0.00716
1yr-18-sa-top-6,0.02726,0.06720,0.06939,0.13369,0.00595
1yr-16-sa-deep-1,0.06008,0.16119,0.22711,0.34286,0.01580
1yr-16-sa-deep-2,0.16335,0.37419,0.47351,0.52663,0.00393
1yr-16-sa-deep-3,0.07992,0.17394,0.23956,0.25933,0.00533
1yr-16-sa-deep-4,0.33523,0.75798,0.96790,1.05576,0.00479
1yr-16-sa-deep-5,0.06757,0.14484,0.16819,0.24139,0.00593
1yr-16-sa-deep-6,0.06775,0.16498,0.20651,0.28411,0.00631
1yr-17-sa-deep-1,0.14467,0.30766,0.45776,0.52962,0.00875
1yr-17-sa-deep-2,0.21510,0.37007,0.22839,0.45123,0.01129
1yr-17-sa-deep-3,0.29014,0.52176,0.29499,0.63673,0.04413
1yr-17-sa-deep-4,0.22897,0.43936,0.23682,0.52457,0.01905
1yr-17-sa-deep-5,0.19141,0.34867,0.29176,0.49028,0.01860
1yr-17-sa-deep-6,0.29890,0.51026,0.42028,0.67482,0.01267
1yr-18-sa-deep-1,0.45617,0.82883,0.69772,1.10494,0.02338
1yr-18-sa-deep-2,0.10984,0.20298,0.26168,0.30653,0.00795
1yr-18-sa-deep-3,0.25712,0.47016,0.27655,0.58042,0.02222
1yr-18-sa-deep-4,0.08203,0.17152,0.16881,0.29516,0.00599
1yr-18-sa-deep-5,0.04231,0.07359,0.08702,0.12871,0.00636
1yr-18-sa-deep-6,0.03820,0.07094,0.07871,0.10132,0.00434
1yr-17-sa-deep-6,0.09817,0.19500,0.25497,0.32144,0.00533
